Country Name,Country Code,Series Name,Series Code,year,value,unit
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,2019,NA,% of population ages 15+
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,2020,NA,% of population ages 15+
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,2021,12.18,% of population ages 15+
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,2022,NA,% of population ages 15+
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,2023,NA,% of population ages 15+
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,2024,NA,% of population ages 15+
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,2018,NA,% of population ages 15+
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,2019,NA,% of population ages 15+
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,2020,NA,% of population ages 15+
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,2021,23.4,% of population ages 15+
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,2022,NA,% of population ages 15+
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,2023,NA,% of population ages 15+
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,2024,NA,% of population ages 15+
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,2018,NA,% of population ages 15-24
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,2019,NA,% of population ages 15-24
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,2020,NA,% of population ages 15-24
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,2021,7.55,% of population ages 15-24
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,2022,NA,% of population ages 15-24
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,2023,NA,% of population ages 15-24
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,2024,NA,% of population ages 15-24
Afghanistan,AFG,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,2018,NA,% of total welfare of beneficiary households
Afghanistan,AFG,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,2019,NA,% of total welfare of beneficiary households
Afghanistan,AFG,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,2020,NA,% of total welfare of beneficiary households
Afghanistan,AFG,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,2021,NA,% of total welfare of beneficiary households
Afghanistan,AFG,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,2022,NA,% of total welfare of beneficiary households
Afghanistan,AFG,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,2023,NA,% of total welfare of beneficiary households
Afghanistan,AFG,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,2024,NA,% of total welfare of beneficiary households
Afghanistan,AFG,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,2018,NA,% of total welfare of beneficiary households
Afghanistan,AFG,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,2019,NA,% of total welfare of beneficiary households
Afghanistan,AFG,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,2020,NA,% of total welfare of beneficiary households
Afghanistan,AFG,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,2021,NA,% of total welfare of beneficiary households
Afghanistan,AFG,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,2022,NA,% of total welfare of beneficiary households
Afghanistan,AFG,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,2023,NA,% of total welfare of beneficiary households
Afghanistan,AFG,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,2024,NA,% of total welfare of beneficiary households
Afghanistan,AFG,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,2018,NA,% of total welfare of beneficiary households
Afghanistan,AFG,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,2019,NA,% of total welfare of beneficiary households
Afghanistan,AFG,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,2020,NA,% of total welfare of beneficiary households
Afghanistan,AFG,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,2021,NA,% of total welfare of beneficiary households
Afghanistan,AFG,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,2022,NA,% of total welfare of beneficiary households
Afghanistan,AFG,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,2023,NA,% of total welfare of beneficiary households
