Country Name,Country Code,year,EG.CFT.ACCS.RU.ZS,EG.CFT.ACCS.ZS,EG.CFT.ACCS.UR.ZS,EG.ELC.ACCS.ZS,EG.ELC.ACCS.RU.ZS,EG.ELC.ACCS.UR.ZS,FX.OWN.TOTL.ZS,FX.OWN.TOTL.FE.ZS,FX.OWN.TOTL.MA.ZS,FX.OWN.TOTL.OL.ZS,FX.OWN.TOTL.40.ZS,FX.OWN.TOTL.PL.ZS,FX.OWN.TOTL.60.ZS,FX.OWN.TOTL.SO.ZS,FX.OWN.TOTL.YG.ZS,per_si_allsi.adq_pop_tot,per_allsp.adq_pop_tot,per_sa_allsa.adq_pop_tot,per_lm_alllm.adq_pop_tot,SE.PRM.TENR,SE.PRM.TENR.FE,SE.PRM.TENR.MA,NY.ADJ.NNTY.KD.ZG,NY.ADJ.SVNG.CD,NY.ADJ.AEDU.CD,SM.POP.ASYS.EO,SM.POP.ASYS.EA,SP.POP.DPND,SH.HIV.INCD,SH.HIV.INCD.TL,SP.POP.DPND.OL,SP.POP.DPND.YG,AG.LND.AGRI.ZS,AG.LND.AGRI.K2,AG.LND.IRIG.AG.ZS,SL.TLF.0714.WK.FE.TM,SL.TLF.0714.WK.MA.TM,SL.TLF.0714.WK.TM,SL.TLF.0714.SW.MA.TM,SL.TLF.0714.SW.FE.TM,SL.TLF.0714.SW.TM,SP.REG.BRTH.ZS,NY.GDP.COAL.RT.ZS,SP.DYN.CDRT.IN,EN.CLC.DRSK.XQ,SL.EMP.MPYR.MA.ZS,SL.EMP.MPYR.FE.ZS,SL.EMP.MPYR.ZS
Bangladesh,BGD,2021,9.8,26.4,58.5,99,98.5,99.7,52.81,43.46,62.86,54.55,48.65,46.57,55.57,56.63,47.8,NA,NA,NA,NA,NA,NA,NA,7.4007980625622,141020395858.264,5896415883.15113,65495,48,53.9605921368888,1000,1200,9.19731840432484,44.763273732564,72.3515402934624,100680,78.9034564958284,NA,NA,NA,NA,NA,NA,NA,0.0132526717304666,6.317,NA,6.29876858794098,1.25033002947074,4.50130881525909
Bangladesh,BGD,2022,11.1,28,59.3,99.4,99.2,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9578311598415,2.87456668403082,1.62061610206386,2.77442056306217,NA,NA,NA,NA,NA,NA,61298,24,53.6222137721463,1000,1300,9.42496463313091,44.1972491390154,72.3515402934624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.037,NA,6.22424888805248,1.4978729012494,4.50221565565253
Bangladesh,BGD,2023,NA,NA,NA,99.5,99.6,99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75867,0,53.0958193080833,NA,NA,9.67649438187319,43.4193249262101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.01,NA,6.25186731594594,1.50522051017339,4.51701260071297
Bangladesh,BGD,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.6423780619832,NA,NA,9.91940845499206,42.7229696069912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhutan,BTN,2018,74,83.3,97.7,100,99.9,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.06547,90.79405,89.35873,3.62018051521378,433009068.407267,129331957.809415,390,NA,44.6530941741602,100,100,8.48639355404976,36.1667006201105,13.4504457262716,5130,NA,NA,NA,NA,NA,NA,NA,NA,0,6.48,NA,0.375786488004108,0.186217008797654,0.300786337280973
Bhutan,BTN,2019,75.8,84.7,97.8,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5128553464171,543244405.911496,133945556.831105,413,NA,43.0441182246478,100,100,8.47969895843659,34.5644192662112,13.4504457262716,5130,NA,NA,NA,NA,NA,NA,NA,NA,0,6.35,NA,1.2578760034908,0.334852272946379,0.874077318321173
Bhutan,BTN,2020,77.9,86,97.8,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.57949263990133,398279365.263675,126756098.045406,411,NA,41.6259265390204,100,100,8.5230554176093,33.1028711214111,13.2900943890928,5130,NA,NA,NA,NA,NA,NA,NA,NA,0,6.275,NA,0.968504294868881,0.387405569892339,0.724079048804296
Bhutan,BTN,2021,80.1,86.8,97.9,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.388570671714234,318267841.567752,138464662.895285,487,NA,40.4434390615407,100,100,8.60453617657872,31.8389028849619,12.8969428421605,5130,NA,NA,NA,NA,NA,NA,NA,NA,0,6.234,NA,0.875278347333378,0.20938223293326,0.59226205567669
Bhutan,BTN,2022,81.4,88,97.9,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8723040858719,14.3813659344017,12.1402324796397,NA,NA,NA,NA,NA,NA,NA,465,NA,39.4402135580812,100,100,8.7090985384842,30.731115019597,12.798329837441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.143,NA,0.826380541610691,0.484476742893971,0.698905831780978
Bhutan,BTN,2023,NA,NA,NA,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468,NA,38.5621629050646,NA,NA,8.82468508439157,29.737477820673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.11,NA,0.540088920717333,0.459571930461387,0.508145500366451
Bhutan,BTN,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7478603176371,NA,NA,8.94559516061105,28.8022651570261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada,CAN,2018,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32518019131996,99047580879.6067,77027754104.1718,79,78766,49.733479510056,1700,2000,25.64886923064,24.084610279416,6.45681990811536,578892,NA,NA,NA,NA,NA,NA,NA,NA,0.0853870422151225,7.7,NA,6.13337025573111,2.59721744626694,4.46279174233887
Canada,CAN,2019,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8746098099151,103269882699.644,77023158507.5124,88,97017,50.4105729188803,1600,1800,26.3697715591015,24.0408013597788,6.43435624426279,576878,NA,NA,NA,NA,NA,NA,NA,NA,0.053736494242235,7.6,NA,5.7883139379967,2.4888870102308,4.22732012269571
Canada,CAN,2020,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.42597160432373,62274273094.5844,72876039708.9169,108,85352,51.1983504754589,1400,1500,27.1936414105089,24.00470906495,6.37073522211031,571174,NA,NA,NA,NA,NA,NA,NA,NA,0.0442539359555517,8.1,NA,5.69422351617276,2.36805264167422,4.13310403672245
Canada,CAN,2021,100,100,100,100,100,100,99.63,99.51,99.77,99.56,99.37,90.16,99.81,99.88,100,NA,NA,NA,NA,NA,NA,NA,8.80009263767232,149729878001.273,88424162323.2619,126,63144,52.0342485398259,NA,NA,28.0993647538034,23.9348837860225,6.48457678610033,569910,NA,NA,NA,NA,NA,NA,NA,NA,0.0730211132400775,8.2,NA,5.3672780695485,2.23635632712889,3.89123588050752
Canada,CAN,2022,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,113066,52.6453169336305,NA,NA,28.9121642638266,23.7331526698039,6.49436207857817,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,8.6,NA,5.17360791401783,2.03580537850874,3.68571925063632
Canada,CAN,2023,NA,NA,NA,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,197961,53.0518455100351,NA,NA,29.6279601722539,23.4238853377812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,NA,5.22868284257601,2.03345559135464,3.71357317492948
Canada,CAN,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.6355843539122,NA,NA,30.4192175943975,23.2163667595147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
China,CHN,2018,62.1,79.5,91.5,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.14360940267872,2401645909054.04,247624815977.905,94351,583,42.5408726929072,NA,NA,16.4153050771481,26.1255676157591,55.5427392442223,5214469,NA,NA,NA,NA,NA,NA,NA,NA,0.582602393231466,7.08,NA,5.20793461376652,2.77590803936496,4.10978506162666
China,CHN,2019,65.8,82,92.7,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.57347638266063,2276763862040.94,254894715503.291,104248,644,43.3873633674887,NA,NA,17.2944746246392,26.0928887428495,55.462649429444,5206950,NA,NA,NA,NA,NA,NA,NA,NA,0.448117054740137,7.09,NA,5.18769397686548,2.77423843408806,4.09555032474287
